CustomerID,Gender,Age,Tenure,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,68,57,DSL,Two year,57.79,3274.95,No
CUST-00002,Female,64,20,Fiber optic,Two year,79.73,1601.66,Yes
CUST-00003,Male,64,55,No,Month-to-month,23.44,1270.31,No
CUST-00004,Male,21,19,No,Month-to-month,15.53,283.04,No
CUST-00005,Male,24,53,Fiber optic,Month-to-month,69.41,3682.24,Yes
CUST-00006,Female,62,24,Fiber optic,One year,81.12,1954.72,Yes
CUST-00007,Male,52,27,Fiber optic,Month-to-month,84.14,2265.36,Yes
CUST-00008,Male,65,4,Fiber optic,Month-to-month,81.95,331.95,Yes
CUST-00009,Male,26,20,No,Month-to-month,25.72,533.42,No
CUST-00010,Female,25,17,Fiber optic,Month-to-month,81.59,1391.74,Yes
CUST-00011,Male,69,46,DSL,One year,59.09,2700.04,No
CUST-00012,Male,62,69,No,Month-to-month,16.6,1134.42,No
CUST-00013,Male,34,56,Fiber optic,One year,77.71,4346.56,No
CUST-00014,Male,34,18,Fiber optic,One year,70.34,1283.58,No
CUST-00015,Female,66,64,No,Month-to-month,18.42,1188.22,No
CUST-00016,Male,50,2,DSL,One year,64.79,135.18,No
CUST-00017,Female,49,41,Fiber optic,One year,81.86,3367.18,Yes
CUST-00018,Female,25,20,Fiber optic,Month-to-month,71.31,1416.89,No
CUST-00019,Female,36,39,DSL,Month-to-month,62.53,2431.15,No
CUST-00020,Male,55,66,Fiber optic,Month-to-month,83.29,5495.56,Yes
CUST-00021,Female,20,24,DSL,One year,56.23,1339.97,No
CUST-00022,Male,22,54,DSL,One year,52.99,2850.13,No
CUST-00023,Female,30,51,Fiber optic,Month-to-month,66.82,3389.61,No
CUST-00024,Female,64,43,Fiber optic,Month-to-month,80.84,3473.07,Yes
CUST-00025,Female,63,55,DSL,Month-to-month,64.92,3571.9,No
CUST-00026,Female,48,54,No,Two year,15.23,831.23,No
CUST-00027,Female,72,69,Fiber optic,Month-to-month,70.34,4858.86,Yes
CUST-00028,Female,33,72,DSL,Two year,54.07,3911.51,No
CUST-00029,Female,67,65,DSL,Month-to-month,55.01,3562.91,No
CUST-00030,Female,49,18,No,One year,20.97,383.0,No
CUST-00031,Male,39,6,Fiber optic,One year,80.25,483.08,No
CUST-00032,Male,46,62,DSL,One year,45.01,2783.68,No
CUST-00033,Female,39,41,DSL,Month-to-month,62.57,2578.82,Yes
CUST-00034,Female,60,41,Fiber optic,One year,82.56,3402.85,No
CUST-00035,Female,20,58,DSL,Month-to-month,46.38,2700.71,Yes
CUST-00036,Male,71,19,Fiber optic,Month-to-month,74.51,1417.6,No
CUST-00037,Female,27,72,No,One year,23.46,1677.79,No
CUST-00038,Male,59,16,DSL,Two year,49.02,776.84,No
CUST-00039,Male,38,26,No,One year,23.76,618.52,No
CUST-00040,Male,33,46,No,Month-to-month,21.76,1004.57,Yes
CUST-00041,Male,29,1,No,One year,16.42,21.66,No
CUST-00042,Male,19,62,No,One year,32.19,1978.78,No
CUST-00043,Female,58,61,No,Two year,19.28,1161.66,No
CUST-00044,Female,41,18,Fiber optic,Two year,74.45,1351.55,Yes
CUST-00045,Female,52,16,Fiber optic,One year,66.94,1068.26,No
CUST-00046,Female,73,68,Fiber optic,Month-to-month,79.58,5418.48,Yes
CUST-00047,Female,47,38,No,One year,23.05,869.56,No
CUST-00048,Male,74,70,DSL,One year,48.8,3414.24,No
CUST-00049,Female,47,38,DSL,Two year,50.0,1916.78,No
CUST-00050,Female,64,35,DSL,Month-to-month,56.01,1942.25,No
CUST-00051,Male,52,39,No,Month-to-month,34.38,1357.87,Yes
CUST-00052,Female,36,44,Fiber optic,Month-to-month,74.71,3275.91,Yes
CUST-00053,Male,67,3,Fiber optic,One year,72.58,237.15,No
CUST-00054,Female,25,24,DSL,Two year,54.1,1295.32,No
CUST-00055,Male,43,68,Fiber optic,Month-to-month,76.12,5184.58,Yes
CUST-00056,Female,66,29,DSL,One year,64.37,1870.02,No
CUST-00057,Female,57,67,Fiber optic,One year,66.14,4434.97,No
CUST-00058,Male,24,28,Fiber optic,One year,68.15,1926.59,No
CUST-00059,Male,47,72,No,Month-to-month,26.9,1943.86,Yes
CUST-00060,Male,24,67,Fiber optic,Two year,82.81,5537.83,No
CUST-00061,Male,20,50,Fiber optic,Month-to-month,73.38,3672.57,No
CUST-00062,Male,18,23,Fiber optic,One year,69.09,1597.61,No
CUST-00063,Male,53,13,Fiber optic,Month-to-month,78.43,1011.64,No
CUST-00064,Male,42,68,DSL,Month-to-month,46.45,3156.99,No
CUST-00065,Male,54,17,Fiber optic,Two year,66.47,1118.43,No
CUST-00066,Female,18,41,No,Month-to-month,32.62,1352.48,Yes
CUST-00067,Female,32,56,Fiber optic,Month-to-month,81.67,4581.94,No
CUST-00068,Male,54,11,Fiber optic,One year,78.08,839.19,Yes
CUST-00069,Female,30,16,No,One year,28.27,469.84,No
CUST-00070,Female,57,29,No,One year,17.14,499.21,No
CUST-00071,Female,25,22,Fiber optic,Month-to-month,79.35,1733.89,Yes
CUST-00072,Female,22,0,Fiber optic,Month-to-month,74.77,0.0,Yes
CUST-00073,Male,26,31,No,Month-to-month,16.85,519.17,Yes
CUST-00074,Female,18,8,No,Month-to-month,30.42,248.86,No
CUST-00075,Male,53,14,No,Two year,26.03,,No
CUST-00076,Female,52,27,Fiber optic,Month-to-month,82.66,2248.03,No
CUST-00077,Female,19,23,Fiber optic,Month-to-month,76.65,1748.88,Yes
CUST-00078,Female,57,59,DSL,Month-to-month,62.98,3727.64,No
CUST-00079,Male,40,34,Fiber optic,Month-to-month,69.2,2342.83,No
CUST-00080,Female,26,26,No,One year,32.68,846.01,No
CUST-00081,Male,51,19,No,One year,33.6,652.94,No
CUST-00082,Female,63,64,Fiber optic,Month-to-month,82.63,5269.2,Yes
CUST-00083,Male,31,48,Fiber optic,Month-to-month,83.62,4025.67,No
CUST-00084,Female,21,0,DSL,Month-to-month,50.34,0.0,Yes
CUST-00085,Male,47,9,Fiber optic,One year,82.44,756.33,No
CUST-00086,Male,48,46,Fiber optic,One year,74.21,3405.69,No
CUST-00087,Female,55,58,Fiber optic,Month-to-month,65.47,3785.18,No
CUST-00088,Male,28,61,DSL,Month-to-month,64.34,3915.77,No
CUST-00089,Female,52,17,Fiber optic,One year,84.62,1440.04,Yes
CUST-00090,Female,25,45,DSL,Two year,64.41,2885.5,No
CUST-00091,Female,20,31,No,Two year,17.17,529.59,No
CUST-00092,Female,31,26,Fiber optic,Month-to-month,77.12,2005.69,No
CUST-00093,Female,30,17,No,Month-to-month,20.09,,No
CUST-00094,Female,62,38,DSL,Month-to-month,55.77,2128.0,No
CUST-00095,Female,49,48,DSL,One year,52.28,2492.45,No
CUST-00096,Female,51,43,Fiber optic,Two year,71.28,3078.89,No
CUST-00097,Female,62,71,Fiber optic,Month-to-month,71.19,5050.52,Yes
CUST-00098,Female,36,53,Fiber optic,Month-to-month,67.55,3576.74,No
CUST-00099,Female,55,33,DSL,Month-to-month,63.06,2085.47,No
CUST-00100,Male,33,70,DSL,Month-to-month,45.01,3142.04,No
CUST-00101,Male,19,35,Fiber optic,Month-to-month,78.09,2731.89,Yes
CUST-00102,Female,57,17,DSL,One year,54.46,941.93,No
CUST-00103,Female,34,37,DSL,Month-to-month,46.7,1728.37,No
CUST-00104,Female,72,58,Fiber optic,Month-to-month,81.37,4729.42,Yes
CUST-00105,Female,51,8,DSL,One year,48.98,372.84,No
CUST-00106,Female,59,72,DSL,Month-to-month,61.99,4446.54,No
CUST-00107,Female,33,71,DSL,Month-to-month,48.89,3478.95,Yes
CUST-00108,Female,55,50,No,Month-to-month,28.12,1386.28,No
CUST-00109,Female,19,34,Fiber optic,Two year,67.13,2279.49,No
CUST-00110,Male,19,4,No,One year,25.36,83.45,No
CUST-00111,Female,43,13,DSL,Month-to-month,54.13,715.74,No
CUST-00112,Male,30,29,Fiber optic,One year,76.91,2248.36,No
CUST-00113,Female,73,3,DSL,Month-to-month,59.39,178.35,Yes
CUST-00114,Female,64,38,Fiber optic,One year,82.94,3161.62,No
CUST-00115,Male,48,63,No,One year,19.94,1262.03,No
CUST-00116,Female,51,24,No,Two year,27.53,651.82,No
CUST-00117,Male,56,27,Fiber optic,Month-to-month,70.43,1894.51,Yes
CUST-00118,Female,20,65,No,Two year,19.63,1283.4,No
CUST-00119,Female,25,21,DSL,Two year,53.15,1117.9,No
CUST-00120,Male,40,30,Fiber optic,Two year,73.4,2218.28,No
CUST-00121,Female,31,22,Fiber optic,One year,82.13,1817.59,Yes
CUST-00122,Male,73,47,No,Month-to-month,22.04,1045.79,No
CUST-00123,Female,72,19,DSL,Month-to-month,53.38,1024.13,No
CUST-00124,Male,44,37,No,Month-to-month,19.41,706.98,Yes
CUST-00125,Male,71,54,Fiber optic,Month-to-month,71.72,3880.19,Yes
CUST-00126,Female,46,67,Fiber optic,One year,74.35,4966.41,Yes
CUST-00127,Female,56,0,DSL,One year,52.88,0.0,Yes
CUST-00128,Male,70,6,Fiber optic,Two year,77.85,452.56,Yes
CUST-00129,Female,56,56,Fiber optic,Month-to-month,72.58,4053.06,No
CUST-00130,Female,18,11,Fiber optic,Month-to-month,72.58,808.49,Yes
CUST-00131,Female,34,4,No,One year,16.64,47.33,No
CUST-00132,Male,58,49,Fiber optic,Month-to-month,72.0,3533.97,No
