Transaction_ID,Date,Customer_ID,Account_Type,Transaction_Type,Category,Amount,Currency,Description,Location,Balance_After
FIN-20000,2023-02-17,CUST-292,Checking,Income,Freelance,486544.83,IDR,Income for Freelance at Surabaya,Surabaya,16727834.99
FIN-20001,2023-07-14,CUST-100,Investment,Expense,Insurance,292396.74,IDR,Expense for Insurance at Denpasar,Denpasar,33481809.19
FIN-20002,2023-10-12,CUST-269,Investment,Income,Investment Return,513631.71,IDR,Income for Investment Return at Jakarta,Jakarta,11467664.9
FIN-20003,2023-06-10,CUST-114,Savings,Expense,Shopping,920193.26,IDR,Expense for Shopping at Semarang,Semarang,33324606.44
FIN-20004,2023-02-11,CUST-147,Savings,Expense,Transportation,231699.0,IDR,Expense for Transportation at Semarang,Semarang,17277113.14
FIN-20005,2023-11-01,CUST-110,Savings,Expense,Education,569574.65,IDR,Expense for Education at Makassar,Makassar,14269134.21
FIN-20006,2023-06-10,CUST-161,Credit Card,Expense,Dining Out,255751.06,IDR,Expense for Dining Out at Jakarta,Jakarta,33544238.14
FIN-20007,2023-08-23,CUST-259,Savings,Income,Bonus,510825.85,IDR,Income for Bonus at Jakarta,Jakarta,15420608.15
FIN-20008,2023-05-06,CUST-194,Credit Card,Income,Gift,706504.53,IDR,Income for Gift at Makassar,Makassar,8565251.3
FIN-20009,2023-09-28,CUST-102,Credit Card,Transfer,Internal Transfer,939540.7,IDR,Transfer for Internal Transfer at Jakarta,Jakarta,16436778.62
FIN-20010,2023-10-11,CUST-139,Credit Card,Expense,Transportation,372925.48,IDR,Expense for Transportation at Bandung,Bandung,30607921.05
FIN-20011,2023-09-16,CUST-225,Credit Card,Transfer,Internal Transfer,101375.48,IDR,Transfer for Internal Transfer at Jakarta,Jakarta,19485647.08
FIN-20012,2023-06-20,CUST-297,Checking,Expense,Dining Out,122711.89,IDR,Expense for Dining Out at Semarang,Semarang,7153762.94
FIN-20013,2023-01-05,CUST-128,Savings,Transfer,Internal Transfer,550134.39,IDR,Transfer for Internal Transfer at Surabaya,Surabaya,42587112.1
FIN-20014,2023-08-09,CUST-132,Savings,Expense,Rent,4646236.23,IDR,Expense for Rent at Jakarta,Jakarta,24484027.89
FIN-20015,2023-07-01,CUST-299,Investment,Transfer,Internal Transfer,926506.18,IDR,Transfer for Internal Transfer at Denpasar,Denpasar,41694735.14
FIN-20016,2023-04-01,CUST-205,Savings,Income,Investment Return,1586534.34,IDR,Income for Investment Return at Makassar,Makassar,35429815.28
FIN-20017,2023-05-08,CUST-168,Checking,Expense,Groceries,222143.78,IDR,Expense for Groceries at Surabaya,Surabaya,18973243.39
FIN-20018,2023-08-24,CUST-189,Credit Card,Expense,Transportation,150315.6,IDR,Expense for Transportation at Bandung,Bandung,6969921.3
FIN-20019,2023-02-05,CUST-297,Credit Card,Expense,Shopping,405681.6,IDR,Expense for Shopping at Jakarta,Jakarta,6748081.34
FIN-20020,2023-03-01,CUST-166,Checking,Expense,Dining Out,67215.74,IDR,Expense for Dining Out at Denpasar,Denpasar,15239947.5
FIN-20021,2023-06-10,CUST-211,Savings,Expense,Education,198177.99,IDR,Expense for Education at Semarang,Semarang,16654329.3
FIN-20022,2023-10-03,CUST-275,Checking,Expense,Groceries,476993.52,IDR,Expense for Groceries at Makassar,Makassar,13091452.63
FIN-20023,2023-03-05,CUST-284,Credit Card,Expense,Healthcare,332921.08,IDR,Expense for Healthcare at Surabaya,Surabaya,22785036.62
FIN-20024,2023-08-04,CUST-270,Investment,Expense,Utilities,619359.77,IDR,Expense for Utilities at Jakarta,Jakarta,46478781.06
FIN-20025,2023-06-05,CUST-173,Checking,Expense,Education,610594.95,IDR,Expense for Education at Makassar,Makassar,18549909.68
FIN-20026,2023-04-20,CUST-230,Investment,Expense,Utilities,662262.24,IDR,Expense for Utilities at Semarang,Semarang,18175873.41
FIN-20027,2023-06-21,CUST-123,Checking,Expense,Transportation,412953.3,IDR,Expense for Transportation at Medan,Medan,11583624.19
FIN-20028,2023-11-09,CUST-296,Savings,Expense,Education,202490.88,IDR,Expense for Education at Surabaya,Surabaya,29562148.18
FIN-20029,2023-03-17,CUST-267,Savings,Expense,Groceries,400289.18,IDR,Expense for Groceries at Makassar,Makassar,34703710.84
FIN-20030,2023-09-23,CUST-218,Savings,Expense,Groceries,255407.82,IDR,Expense for Groceries at Semarang,Semarang,32148251.69
FIN-20031,2023-11-01,CUST-181,Investment,Expense,Shopping,432473.35,IDR,Expense for Shopping at Surabaya,Surabaya,16390899.03
FIN-20032,2023-09-01,CUST-215,Credit Card,Expense,Dining Out,394616.16,IDR,Expense for Dining Out at Bandung,Bandung,43778719.48
FIN-20033,2023-08-14,CUST-119,Credit Card,Expense,Entertainment,326512.47,IDR,Expense for Entertainment at Surabaya,Surabaya,4965931.71
FIN-20034,2023-07-16,CUST-277,Checking,Expense,Groceries,236690.55,IDR,Expense for Groceries at Jakarta,Jakarta,24160612.66
FIN-20035,2023-04-16,CUST-207,Investment,Transfer,Internal Transfer,858164.71,IDR,Transfer for Internal Transfer at Jakarta,Jakarta,23706271.57
FIN-20036,2023-06-30,CUST-176,Investment,Expense,Healthcare,542838.36,IDR,Expense for Healthcare at Surabaya,Surabaya,45611803.18
FIN-20037,2023-09-07,CUST-156,Credit Card,Expense,Rent,2861000.21,IDR,Expense for Rent at Makassar,Makassar,9840238.96
FIN-20038,2023-03-26,CUST-219,Checking,Transfer,Internal Transfer,907859.57,IDR,Transfer for Internal Transfer at Jakarta,Jakarta,10969907.51
FIN-20039,2023-11-26,CUST-209,Checking,Expense,Utilities,59781.79,IDR,Expense for Utilities at Bandung,Bandung,47861934.95
FIN-20040,2023-06-22,CUST-294,Investment,Expense,Healthcare,259748.82,IDR,Expense for Healthcare,,24681134.71
FIN-20041,2023-10-04,CUST-113,Credit Card,Expense,Groceries,401554.87,IDR,Expense for Groceries at Surabaya,Surabaya,13546139.41
FIN-20042,2023-04-13,CUST-105,Checking,Expense,Insurance,672764.26,IDR,Expense for Insurance at Makassar,Makassar,34778712.68
FIN-20043,2023-05-12,CUST-296,Credit Card,Income,Gift,964097.4,IDR,Income for Gift at Surabaya,Surabaya,30526245.57
FIN-20044,2023-06-09,CUST-127,Savings,Transfer,External Transfer,402687.9,IDR,Transfer for External Transfer at Makassar,Makassar,8949549.06
FIN-20045,2023-11-18,CUST-162,Savings,Expense,Dining Out,432631.96,IDR,Expense for Dining Out at Semarang,Semarang,29630106.51
FIN-20046,2023-01-22,CUST-188,Investment,Expense,Groceries,277682.36,IDR,Expense for Groceries at Denpasar,Denpasar,8813241.19
